planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,o2,condition,ok for 0 hab skill,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,fauna_predictor_algorithm,flora_predictor_algorithm,fauna_result,flora_result
Leonis I,,LeonisI,Rock,Planet,Rock Planet,Leonis,65,0.89,,,,Inferno,Std CO2,Weak,None,"Ag,Al,Be,Cl,He-3,Nd,Pb,U",8,None,None,"Cratered,Desert-Rocky,Desert-Sandy,Mountains","Cratered,Desert,Mountains",Unknown,50.0%,No,1,0,3,0,2,4,7,4,3,1,0,0,0,0
Leonis I-a,,LeonisIa,Barren,Moon,Barren Moon,Leonis,65,0.08,,,,Inferno,None,None,None,"Al,Be,He-3,Nd",4,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Leonis I-b,,LeonisIb,Rock,Moon,Rock Moon,Leonis,65,0.35,,,,Inferno,Thin CO2,None,None,"Ag,Al,Co,He-3,Ni,Pb,U",7,None,None,"Cratered,Desert-Rocky,Hills,Mountains","Cratered,Desert,Hills,Mountains",Unknown,50.0%,No,1,0,3,0,3,4,7,4,1,1,0,0,0,0
Leonis II,,LeonisII,Rock,Planet,Rock Planet,Leonis,65,0.48,,,,Inferno,Thin O2,Average,None,"Ag,Al,Be,He-3,Hg,Pb,U",7,None,None,"Cratered,Desert-Rocky,Mountains,Volcanic","Cratered,Desert,Mountains,Volcanic",Unknown,66.7%,No,1,0,0,0,2,4,7,6,4,1,0,0,0,0
Leonis II-a,,LeonisIIa,Barren,Moon,Barren Moon,Leonis,65,0.08,,,,Inferno,None,None,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Leonis III,,LeonisIII,Rock,Planet,Rock Planet,Leonis,65,0.80,,,,Temperate,High O2,Average,Safe,"H20,Ir,Pu,U",4,Moderate (7),Moderate (5),"Archipelago,Ocean","Coastal,Ocean",Unknown,83.3%,Yes,0,2,0,0,0,4,4,6,4,6,4,4,7,5
Leonis IV,,LeonisIV,Rock,Planet,Rock Planet,Leonis,65,0.52,,,,Temperate,Thin O2,Weak,Biological,"Cl,Co,Fe,H20,HnCn,Ni,Pt,SiH3Cl",8,Marginal (4),Marginal (3),"Hills,Mountains,Ocean,Polar-Ice,SavannahBarren","Hills,Mountains,Ocean,Ice,Savannah",Unknown,100.0%,Yes,0,0,0,0,2,4,4,6,3,5,4,3,4,3
Leonis IX,,LeonisIX,Ice,Planet,Ice Planet,Leonis,65,0.14,,,,Deep freeze,None,None,Safe,"Co,H20,Ni",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0,0
Leonis V,,LeonisV,Rock,Planet,Rock Planet,Leonis,65,0.61,,,,Temperate,Std M,Powerful,Biological,"Ar,C6Hn,Cl,Fe,H20,HnCn,Li,SiH3Cl",8,Marginal (4),Marginal (5),"Desert-Sandy,Hills,Mountains,Ocean,Polar-Ice,SavannahBarren,Wetlands","Desert,Hills,Mountains,Ocean,Ice,Savannah,Wetlands",Unknown,83.3%,Yes,0,0,3,0,1,4,4,5,7,5,5,4,4,5
Leonis V-a,,LeonisVa,Barren,Moon,Barren Moon,Leonis,65,0.04,,,,Temperate,None,None,None,,0,None,None,Cratered,Cratered,Unknown,50.0%,No,0,0,0,0,0,3,4,1,1,1,0,0,0,0
Leonis VI,,LeonisVI,Ice giant,Planet,Ice giant Planet,Leonis,65,1.37,,,,Frozen,H2,Weak,None,"Ar,C6Hn,Co,Fe,H20,Ni,U",7,None,None,Ocean,Ocean,Unknown,33.3%,No,0,0,0,0,2,2,2,3,3,1,0,0,0,0
Leonis VI-a,,LeonisVIa,Ice,Moon,Ice Moon,Leonis,65,0.16,,,,Frozen,None,None,None,"Ah,H2O,Pb",3,None,None,Polar-Ice,Ice,Unknown,33.3%,No,0,0,0,0,0,3,2,1,1,1,0,0,0,0
Leonis VII,,LeonisVII,Rock,Planet,Rock Planet,Leonis,65,0.82,,,,Deep freeze,Std N2,Powerful,Chemical,"Ar,C6Hn,Co,Fe,H20,Ni,U",7,None,None,"Hills,Mountains,Polar-Ice,SavannahBarren","Hills,Mountains,Ice,Savannah",Unknown,58.3%,Yes,1,0,0,0,2,4,1,2,7,3,0,0,0,0
Leonis VIII,,LeonisVIII,Ice giant,Planet,Ice giant Planet,Leonis,65,1.71,,,,Deep freeze,H2,Weak,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,1,0,0,0,0,2,1,3,3,1,0,0,0,0
Leonis VIII-a,,LeonisVIIIa,Rock,Moon,Rock Moon,Leonis,65,0.51,,,,Frozen,Thin M,None,Radioactive,"Ag,Cl,Cu,H20,Pb",5,Marginal (1),None (0),"Archipelago,Desert-Rocky,Forest,Ocean,Polar-Ice,SavannahBarren","Coastal,Desert,Forest,Ocean,Ice,Savannah",Unknown,50.0%,Yes,0,0,3,0,0,4,2,5,1,4,0,0,1,0
Leonis VIII-b,,LeonisVIIIb,Ice,Moon,Ice Moon,Leonis,65,0.15,,,,Deep freeze,None,None,Chemical,"H20,Ni",2,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0,0
Leonis VIII-c,,LeonisVIIIc,Rock,Moon,Rock Moon,Leonis,65,0.70,,,,Cold,Std O2,None,Biological,"Ar,Cl,Fe,H20,HnCn,Yb",6,None,None,"Mountains,Ocean,Polar-Ice","Mountains,Ocean,Ice",Unknown,75.0%,Yes,0,0,0,0,1,4,3,6,1,5,4,3,0,0
Leviathan I,,LeviathanI,Barren,Planet,Barren Planet,Leviathan,55,0.67,,,,Inferno,None,None,None,"Fe,He-3",2,None,None,Cratered,Cratered,None,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Leviathan II,,LeviathanII,Barren,Planet,Barren Planet,Leviathan,55,0.44,,,,Inferno,None,Average,None,"Al,Be,Eu,He-3,Nd",5,None,None,Cratered,Cratered,None,33.3%,No,1,0,0,0,2,3,7,1,4,1,0,0,0,0
Leviathan III,,LeviathanIII,Rock,Planet,Rock Planet,Leviathan,55,1.40,,,,Scorched,High CO2,Average,None,"Cl,Pb",2,None,None,"Desert-Rocky,Desert-Sandy",Desert,"Charred Ecosystem, Continual Conductor, Solar Storm Seasons",33.3%,No,0,2,3,0,0,4,6,4,4,1,0,0,0,0
Leviathan IV,,LeviathanIV,Rock,Planet,Rock Planet,Leviathan,55,0.68,18%,None,Yes,Temperate,Std O2,Powerful,Biological,"Al,Cl,Cu,F,Fe,H20,Yb",7,Marginal (5),Marginal (4),"Archipelago,Mountains,Ocean,Polar-Ice,Swamp,Wetlands","Coastal,Mountains,Ocean,Ice,Swamp,Wetlands","Ecological Consortium, Sentient Microbial Colonies",100.0%,Yes,0,0,0,0,2,4,4,6,7,5,6,5,5,4
Leviathan V,,LeviathanV,Ice giant,Planet,Ice giant Planet,Leviathan,55,1.34,,,,Frozen,H2,Weak,None,,0,None,None,Ocean,Ocean,None,33.3%,No,0,0,0,0,0,2,2,3,3,1,0,0,0,0
Leviathan V-a,,LeviathanVa,Ice,Moon,Ice Moon,Leviathan,55,0.07,,,,Frozen,None,None,Chemical,"Ar,H20,Ne",3,None,None,Polar-Ice,Ice,Crystalline Crust,41.7%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0,0
Leviathan VI,,LeviathanVI,Gas giant,Planet,Gas giant Planet,Leviathan,55,4.71,,,,Frozen,H2,Extreme,None,,0,None,None,Ocean,Ocean,None,33.3%,No,0,0,0,4,0,2,2,3,8,1,0,0,0,0
Leviathan VI-a,,LeviathanVIa,Ice,Moon,Ice Moon,Leviathan,55,0.28,,,,Frozen,None,None,Safe,"Au,Cu,H20",3,None,None,Polar-Ice,Ice,None,41.7%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0,0
Leviathan VI-b,,LeviathanVIb,Rock,Moon,Rock Moon,Leviathan,55,0.36,,,,Frozen,Thin CO2,None,Safe,"Cl,Fe,H20,He-3,SiH3Cl,Xe",6,None,None,"Cratered,Mountains,Polar-Ice","Cratered,Mountains,Ice","Continual Conductor, Gravitational Anomaly",58.3%,Yes,0,0,3,0,2,4,2,4,1,6,0,0,0,0
Leviathan VII,,LeviathanVII,Barren,Planet,Barren Planet,Leviathan,55,0.34,,,,Deep freeze,None,Very strong,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,6,1,0,0,0*,0*
Linnaeus I,,LinnaeusI,Rock,Planet,Rock Planet,Linnaeus,45,1.61,,,,Scorched,Extr CO2,Average,None,"Ir,U",2,Unknown,Unknown,"Desert-Rocky,Desert-Sandy",Desert,Unknown,37.5%,No,0,2,3,0,0,4,6,4,4,1,0,0,0*,0*
Linnaeus II,,LinnaeusII,Rock,Planet,Rock Planet,Linnaeus,45,0.52,,,,Cold,Thin O2,Weak,Chemical,"Ag,Ar,C6Hn,H20,Pb",5,Unknown,Unknown,"Mountains,Ocean,Polar-Ice","Mountains,Ocean,Ice",Unknown,79.2%,Yes,0,0,0,0,0,4,3,6,3,3,4,3,4*,3*
Linnaeus II-a,,LinnaeusIIa,Barren,Moon,Barren Moon,Linnaeus,45,0.09,,,,Cold,None,None,None,"Fe,He-3,Ta",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Linnaeus III,,LinnaeusIII,Rock,Planet,Rock Planet,Linnaeus,45,1.32,,,,Frozen,Extr M,Average,Chemical,"Cl,Cu,F,H20,Ni,SiH3Cl,U,xF4",8,Unknown,Unknown,"Desert-Rocky,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savannah",Unknown,45.8%,Yes,0,2,3,0,1,4,2,5,4,3,0,0,0*,0*
Linnaeus III-a,,LinnaeusIIIa,Barren,Moon,Barren Moon,Linnaeus,45,0.22,,,,Frozen,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Linnaeus IV,,LinnaeusIV,Gas giant,Planet,Gas giant Planet,Linnaeus,45,2.55,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Linnaeus IV-a,,LinnaeusIVa,Rock,Moon,Rock Moon,Linnaeus,45,0.35,,,,Deep freeze,Thin CO2,None,None,"Co,H20,Ir,Ni,Pb,Pt,U",7,Unknown,Unknown,"Desert-Rocky,Hills,Mountains","Desert,Hills,Mountains",Unknown,54.2%,No,1,0,3,0,1,4,1,4,1,1,0,0,0*,0*
Linnaeus IV-b,,LinnaeusIVb,Rock,Moon,Rock Moon,Linnaeus,45,0.50,,,,Temperate,Thin M,None,Biological,"Al,Be,Fe,H20,He-3,HnCn,Pb,Yb",8,Unknown,Unknown,"Archipelago,Cratered,Desert-Rocky,Hills,Ocean,Polar-Ice,SavannahBarren","Coastal,Cratered,Desert,Hills,Ocean,Ice,Savannah",Unknown,62.5%,Yes,0,0,3,0,3,4,4,5,1,5,2,1,2*,1*
Linnaeus IV-c,,LinnaeusIVc,Ice,Moon,Ice Moon,Linnaeus,45,0.04,,,,Deep freeze,None,None,Heavy metal,"H20,Ni,Pb",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,2,0,0,0*,0*
Linnaeus V,,LinnaeusV,Barren,Planet,Barren Planet,Linnaeus,45,0.41,,,,Deep freeze,None,Very strong,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,6,1,0,0,0*,0*
Linnaeus VI,,LinnaeusVI,Ice,Planet,Ice Planet,Linnaeus,45,0.18,,,,Deep freeze,None,None,Safe,"Co,H20,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Linnaeus VII,,LinnaeusVII,Barren,Planet,Barren Planet,Linnaeus,45,0.52,,,,Deep freeze,None,Average,None,"Al,He-3,Nd",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,4,1,0,0,0*,0*
Abetti,,Abetti,Ice,Moon,Ice Moon,Lunara,25,0.22,,,,Deep freeze,None,None,Chemical,"Ar,C6Hn,H20,Ne",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Az-Valok,Ax-Valok,AzValok,Barren,Moon,Barren Moon,Lunara,25,0.36,,,,Deep freeze,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Cassini,,Cassini,Ice giant,Planet,Ice giant Planet,Lunara,25,1.19,,,,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,3,1,0,0,0*,0*
Coeus,Scylla,Coeus,Barren,Moon,Barren Moon,Lunara,25,0.23,,,,Frozen,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Crius,Chardbys,Crius,Barren,Moon,Barren Moon,Lunara,25,0.33,,,,Frozen,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Cthol,,Cthol,Ice giant,Planet,Ice giant Planet,Lunara,25,1.44,,,,Deep freeze,H2,Very strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,6,1,0,0,0*,0*
Earrach,,Earrach,Barren,Moon,Barren Moon,Lunara,25,0.26,,,,Cold,None,None,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Gaea,,Gaea,Barren,Planet,Barren Planet,Lunara,25,0.71,,,,Frozen,None,Weak,None,"Al,He-3,Nd",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,3,1,0,0,0*,0*
Gasparis,,Gasparis,Ice,Moon,Ice Moon,Lunara,25,0.43,,,,Deep freeze,None,None,Safe,"Au,Cu,F,H20,Sb",5,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Lillius,,Lillius,Ice,Moon,Ice Moon,Lunara,25,0.27,,,,Deep freeze,None,None,Chemical,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Numitor,,Numitor,Barren,Planet,Barren Planet,Lunara,25,0.89,,,,Inferno,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Nyarloth,,Nyarloth,Barren,Moon,Barren Moon,Lunara,25,0.39,,,,Deep freeze,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Okoro,,Okoro,Gas giant,Planet,Gas giant Planet,Lunara,25,2.51,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Okoro Alpha,,OkoroAlpha,Ice,Moon,Ice Moon,Lunara,25,0.07,,,,Deep freeze,None,None,Safe,"Cl,H20,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Okoro Beta,,OkoroBeta,Ice,Moon,Ice Moon,Lunara,25,0.05,,,,Deep freeze,None,None,Chemical,"Cl,H20,SiH3Cl,Xe",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Okoro Delta,,OkoroDelta,Ice,Moon,Ice Moon,Lunara,25,0.38,,,,Deep freeze,None,None,Safe,"Co,H20,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Okoro Epsilon,,OkoroEpsilon,Ice,Moon,Ice Moon,Lunara,25,0.11,,,,Deep freeze,None,None,Safe,"H20,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Okoro Gamma,,OkoroGamma,Ice,Moon,Ice Moon,Lunara,25,0.05,,,,Deep freeze,None,None,Chemical,"H20,Ni,Pt",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Petria,,Petria,Rock,Planet,Rock Planet,Lunara,25,1.06,,,,Cold,Std M,Average,None,"Cu,F,H20,Pb,xF4",5,Unknown,Unknown,"Desert-Rocky,Polar-Ice,SavannahBarren","Desert,Ice,Savannah",Unknown,37.5%,No,0,0,3,0,0,4,3,5,4,1,2,2,2*,2*
Remus,,Remus,Barren,Moon,Barren Moon,Lunara,25,0.08,,,,Inferno,None,None,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Reva's World,,RevasWorld,Barren,Planet,Barren Planet,Lunara,25,0.18,,,,Deep freeze,None,Average,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,4,1,0,0,0*,0*
Romulus,,Romulus,Barren,Moon,Barren Moon,Lunara,25,0.11,,,,Inferno,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Uvhan,,Uvhan,Ice,Moon,Ice Moon,Lunara,25,0.25,,,,Deep freeze,None,None,Chemical,"Ar,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Vesta,,Vesta,Rock,Planet,Rock Planet,Lunara,25,0.63,,,,Temperate,Std O2,Weak,Biological,"Ar,C6Hn,Cl,Cu,F,H20,Hg,Pb",8,Marginal (7),Marginal (4),"Archipelago,Desert-Rocky,Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Coastal,Desert,Forest,Mountains,Ocean,Ice,Savannah",CHECK,100.0%,Yes,0,0,0,0,0,4,4,6,3,5,4,3,7,4
Vesta Lunaris,,VestaLunaris,Barren,Moon,Barren Moon,Lunara,25,0.15,,,,Temperate,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,CHECK,50.0%,No,0,0,0,0,2,3,4,1,1,1,0,0,0,0
Luyten's Rock,,LuytensRock,Rock,Planet,Rock Planet,Luyten's Star,5,1.30,,,,Temperate,Std CO2,Weak,None,"Ar,Cl,Fe,H20,He-3,HnCn,Li,Ta",8,None,None,"Hills,Ocean,Polar-Ice,SavannahBarren","Hills,Ocean,Ice,Savannah",CHECK,50.0%,No,0,0,3,0,2,4,4,4,3,1,2,1,0,0
Maal I,,MaalI,Barren,Planet,Barren Planet,Maal,60,0.91,,,,Inferno,None,None,None,"Fe,He-3,Yb",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Maal I-a,,MaalIa,Barren,Moon,Barren Moon,Maal,60,0.16,,,,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Maal I-b,,MaalIb,Barren,Moon,Barren Moon,Maal,60,0.11,,,,Inferno,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Maal II,,MaalII,Rock,Planet,Rock Planet,Maal,60,0.77,,,,Inferno,Thin CO2,Very strong,None,"Cl,Fe,Ni",3,Unknown,Unknown,"Desert-Sandy,Hills,Mountains","Desert,Hills,Mountains",Unknown,54.2%,No,1,0,3,0,2,4,7,4,6,1,0,0,0*,0*
Maal II-a,,MaalIIa,Barren,Moon,Barren Moon,Maal,60,0.06,,,,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Maal III,,MaalIII,Rock,Planet,Rock Planet,Maal,60,0.98,,,,Scorched,Std O2,Powerful,None,"Au,Cu,Fe,HnCn,Pb,Ti",6,Unknown,Unknown,"Desert-Rocky,Mountains,SavannahBarren","Desert,Mountains,Savannah",Unknown,70.8%,No,0,0,0,0,1,4,6,6,7,1,0,0,0*,0*
Maal III-a,,MaalIIIa,Barren,Moon,Barren Moon,Maal,60,0.07,,,,Scorched,None,None,None,,0,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,0,3,6,1,1,1,0,0,0*,0*
Maal IV,,MaalIV,Rock,Planet,Rock Planet,Maal,60,0.99,,,,Temperate,Std O2,Weak,Biological,"Ag,Cl,H20,Hg,Ir,Pb,U",7,Unknown,Unknown,"Archipelago,Desert-Sandy,Mountains,Ocean,Wetlands","Coastal,Desert,Mountains,Ocean,Wetlands",Unknown,95.8%,Yes,0,0,0,0,0,4,4,6,3,5,4,3,4*,3*
Maal IX,,MaalIX,Gas giant,Planet,Gas giant Planet,Maal,60,6.19,,,,Deep freeze,H2,Massive,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Maal IX-a,,MaalIXa,Ice,Moon,Ice Moon,Maal,60,0.04,,,,Deep freeze,None,None,Safe,"Ar,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Maal IX-b,,MaalIXb,Rock,Moon,Rock Moon,Maal,60,0.58,,,,Frozen,Thin M,Very weak,Radioactive,"Cl,Cu,H20,Sb,U,V",6,Unknown,Unknown,"Desert-Sandy,Ocean","Desert,Ocean",Unknown,45.8%,Yes,0,0,3,0,0,4,2,5,2,4,0,0,0*,0*
Maal IX-c,,MaalIXc,Ice,Moon,Ice Moon,Maal,60,0.10,,,,Deep freeze,None,None,Safe,"Ar,C6Hn,H20,R-COC",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Maal IX-d,,MaalIXd,Ice,Moon,Ice Moon,Maal,60,0.14,,,,Deep freeze,None,None,Chemical,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Maal V,,MaalV,Rock,Planet,Rock Planet,Maal,60,0.77,,,,Temperate,Std O2,Weak,Safe,"Ag,Ar,Cl,Co,H20,Ni,Pb",7,Unknown,Unknown,"Archipelago,Forest,Mountains,Ocean,Polar-Ice","Coastal,Forest,Mountains,Ocean,Ice",Unknown,95.8%,Yes,0,0,0,0,1,4,4,6,3,6,4,3,4*,3*
Maal V-a,,MaalVa,Barren,Moon,Barren Moon,Maal,60,0.17,,,,Temperate,None,None,None,"Al,Be,He-3,Nd",4,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Maal VI,,MaalVI,Gas giant,Planet,Gas giant Planet,Maal,60,4.89,,,,Frozen,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,4,0,2,2,3,8,1,0,0,0*,0*
Maal VI-a,,MaalVIa,Rock,Moon,Rock Moon,Maal,60,0.34,,,,Frozen,Thin O2,None,Safe,"Al,Be,Cl,H20,He-3,Li,Pb,U",8,Unknown,Unknown,"Cratered,Desert-Rocky,Mountains,Polar-Ice","Cratered,Desert,Mountains,Ice",Unknown,79.2%,Yes,0,0,0,0,2,4,2,6,1,6,0,0,0*,0*
Maal VI-b,,MaalVIb,Ice,Moon,Ice Moon,Maal,60,0.14,,,,Frozen,None,None,Chemical,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0*,0*
Maal VI-c,,MaalVIc,Ice,Moon,Ice Moon,Maal,60,0.33,,,,Frozen,None,None,Safe,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Maal VII,,MaalVII,Rock,Planet,Rock Planet,Maal,60,1.40,,,,Frozen,High M,Powerful,Chemical,"Cu,F,H20,Ni,Pt,W,xF4",7,Unknown,Unknown,"Desert-Rocky,Mountains,Polar-Ice,Tablelands","Desert,Mountains,Ice,Tablelands",Unknown,62.5%,Yes,0,2,3,0,2,4,2,5,7,3,0,0,0*,0*
Maal VIII,,MaalVIII,Rock,Planet,Rock Planet,Maal,60,0.80,,,,Frozen,High N2,Weak,Chemical,"Cl,Cu,Fe,H20,Ir,Ni,U,V",8,Unknown,Unknown,"Desert-Rocky,Mountains,Polar-Ice,SavannahBarren","Desert,Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,2,0,0,2,4,2,2,3,3,0,0,0*,0*
Maal VIII-a,,MaalVIIIa,Ice,Moon,Ice Moon,Maal,60,0.03,,,,Frozen,None,None,Safe,"Cl,H20,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Maal X,,MaalX,Ice,Planet,Ice Planet,Maal,60,0.14,,,,Deep freeze,None,None,Chemical,"Co,H20,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Maheo I,,MaheoI,Rock,Planet,Rock Planet,Maheo,1,0.39,,,,Temperate,Thin M,Weak,Safe,"Ag,Ar,C6Hn,Cl,Co,H20,Ni,Pb",8,Marginal (0),Marginal (3),"Archipelago,Forest,Hills,Ocean,Polar-Ice","Coastal,Forest,Hills,Ocean,Ice","Diseased Biosphere, Global Glacial Recession",66.7%,Yes,0,0,3,0,1,4,4,5,3,6,3,2,0,3
Maheo II,,MaheoII,Rock,Planet,Rock Planet,Maheo,1,0.52,,,,Frozen,Thin N2,Average,Safe,"Cu,Fe,H20,He-3,HnCn,Pb,xF4,Yb",8,None,None,"Cratered,Desert-Rocky,Mountains,Polar-Ice","Cratered,Desert,Mountains,Ice",Unknown,58.3%,Yes,0,0,0,0,2,4,2,2,4,6,0,0,0,0
